(685, 335, 0)
(685, 350, 0)
(685, 365, 0)
(685, 380, 0)
(685, 395, 0)
(685, 410, 0)
(685, 425, 0)
(685, 440, 0)
(685, 455, 0)
(685, 470, 0)
(685, 485, 0)
(686.9, 499.838, 0)
(685, 514.677, 0)
(679.423, 528.558, 0)
(670.528, 540.585, 0)
(658.889, 549.983, 0)
(645.258, 556.146, 0)
(630.271, 556.784, 0)
(616.408, 553.693, 0)
(601.815, 559.773, 0)
(589.225, 569.335, 0)
(575.594, 575.497, 0)
(565.215, 586.327, 0)
(556.32, 598.355, 0)
(544.173, 605.715, 0)
(535.852, 616.967, 0)
(525.473, 627.797, 0)
(516.898, 639.461, 0)
(511.522, 656.606, 0)
(497.319, 668.68, 0)
(488.424, 680.708, 0)
(489.587, 697.812, 0)
(482.238, 718.366, 0)
(478.653, 735.483, 0)
(467.015, 744.881, 0)
(455.278, 742.533, 0)
(449.42, 744.607, 0)
(434.676, 747.136, 0)
(419.77, 745.868, 0)
Total Path Length: 574.264
